method,annual_sharpe,correlation,mean_fdp,mean_power,mean_end_to_end_power,mean_proposal_recall,mean_discoveries,mean_delay_days,repetitions
SAFE-ALPHA,1.0,0.5,0.001815873015873,0.1878999999999999,0.18675,0.99425,3.008,730.7999500665669,250
Terminal BH,1.0,0.5,0.0643632309255139,0.4579,0.455,0.99425,8.676,,250
Uncorrected 5%,1.0,0.5,0.0827267005934364,0.6607999999999999,0.65675,0.99425,12.184,,250
Top-5 backtest,1.0,0.5,0.0392,0.3020333333333333,0.30025,0.99425,5.0,,250
SAFE-ALPHA,2.0,0.5,0.000235294117647,0.887,0.887,1.0,14.196,557.3180333000333,250
Terminal BH,2.0,0.5,0.0656470047416946,0.99025,0.99025,1.0,17.444,,250
Uncorrected 5%,2.0,0.5,0.07881764911766,0.9955,0.9955,1.0,17.724,,250
Top-5 backtest,2.0,0.5,0.0008,0.31225,0.31225,1.0,5.0,,250
SAFE-ALPHA,3.0,0.5,0.0004444444444444,0.99975,0.99975,1.0,16.004,295.9074166666666,250
Terminal BH,3.0,0.5,0.0714002156815779,1.0,1.0,1.0,17.736,,250
Uncorrected 5%,3.0,0.5,0.0815932487142522,1.0,1.0,1.0,17.864,,250
Top-5 backtest,3.0,0.5,0.0,0.3125,0.3125,1.0,5.0,,250
