strategy_id,promotion_date,frozen_e_value,gamma,lambda,new_admission_floor
market_ew30,2018-01-19,20.08704044220244,0.5,0.1834794232275193,10.0
high_volatility_lb63_b3_monthly,,,0.16666666666666666,0.2693740504027027,10.0
high_volatility_lb21_b5_monthly,,,0.08333333333333333,0.2462700553728464,10.0
high_volatility_lb63_b5_monthly,,,0.05,0.3206798821091561,10.0
high_volatility_lb252_b10_monthly,,,0.03333333333333333,0.2885692651957857,10.0
high_volatility_lb252_b3_monthly,,,0.023809523809523808,0.29236213283570295,10.0
time_series_momentum_lb126_monthly,,,0.017857142857142856,0.22296606379760744,10.0
cross_momentum_lb252_skip21_b3_weekly,,,0.013888888888888888,0.20901716756212196,10.0
time_series_momentum_lb252_monthly,,,0.011111111111111112,0.23186102622712582,10.0
cross_momentum_lb21_skip0_b5_monthly,,,0.00909090909090909,0.17383002612741053,10.0
cross_momentum_lb63_skip0_b10_monthly,,,0.007575757575757576,0.21698497264982267,10.0
cross_momentum_lb21_skip0_b3_monthly,,,0.00641025641025641,0.23017261857251375,10.0
time_series_momentum_lb21_monthly,,,0.005494505494505495,0.16525772735234,10.0
cross_momentum_lb21_skip0_b10_monthly,,,0.004761904761904762,0.18646360689046165,10.0
time_series_momentum_lb63_monthly,,,0.004166666666666667,0.09990685607828552,10.0
time_series_momentum_lb126_weekly,,,0.003676470588235294,0.14101087207722265,10.0
cross_reversal_lb63_skip0_b5_weekly,,,0.0032679738562091504,0.0767543690460058,10.0
high_volatility_lb126_b3_monthly,,,0.0029239766081871343,0.1171493366889973,10.0
time_series_momentum_lb252_weekly,,,0.002631578947368421,0.15772428323743065,10.0
cross_reversal_lb126_skip0_b5_weekly,,,0.002380952380952381,0.099655661288268,10.0
time_series_momentum_lb63_weekly,,,0.0021645021645021645,0.1340279150873683,10.0
cross_momentum_lb63_skip0_b5_monthly,,,0.001976284584980237,0.1361093532021726,10.0
cross_momentum_lb63_skip0_b3_monthly,,,0.0018115942028985507,0.1332112858686765,10.0
low_volatility_lb21_b3_monthly,,,0.0016666666666666668,0.1443081043204991,10.0
low_volatility_lb21_b5_monthly,,,0.0015384615384615385,0.13119871821968365,10.0
cross_reversal_lb21_skip0_b3_weekly,,,0.0014245014245014246,0.0758889553614153,10.0
low_volatility_lb126_b3_monthly,,,0.0013227513227513227,0.14243520061340934,10.0
low_volatility_lb63_b3_monthly,,,0.0012315270935960591,0.2385715296721706,10.0
cross_momentum_lb252_skip21_b3_monthly,,,0.0011494252873563218,0.09555396475987467,10.0
cross_reversal_lb126_skip0_b10_monthly,,,0.001075268817204301,0.01,10.0
cross_reversal_lb126_skip0_b10_weekly,,,0.0010080645161290322,0.01,10.0
cross_momentum_lb126_skip0_b3_monthly,,,0.000946969696969697,0.14530411883940472,10.0
cross_momentum_lb252_skip21_b5_monthly,,,0.00089126559714795,0.1855536069183224,10.0
cross_momentum_lb252_skip21_b5_weekly,,,0.0008403361344537816,0.22510846485262298,10.0
low_volatility_lb252_b3_monthly,,,0.0007936507936507937,0.2629217288591814,10.0
low_volatility_lb63_b5_monthly,,,0.0007507507507507507,0.2787011213324873,10.0
cross_momentum_lb63_skip0_b10_weekly,,,0.0007112375533428165,0.32480587508849057,10.0
low_volatility_lb126_b5_monthly,,,0.0006747638326585695,0.3426516814059194,10.0
low_volatility_lb252_b5_monthly,,,0.000641025641025641,0.3157226893294208,10.0
cross_momentum_lb63_skip0_b5_weekly,,,0.0006097560975609756,0.2925275656471207,10.0
cross_momentum_lb63_skip0_b3_weekly,,,0.0005807200929152149,0.25183150411536004,10.0
cross_momentum_lb126_skip0_b5_monthly,,,0.0005537098560354374,0.2380125196285729,10.0
cross_momentum_lb252_skip21_b10_monthly,,,0.0005285412262156448,0.22449232154689022,10.0
cross_momentum_lb126_skip0_b3_weekly,,,0.000505050505050505,0.20884320213381677,10.0
cross_momentum_lb126_skip0_b5_weekly,,,0.0004830917874396135,0.20633432894218726,10.0
cross_momentum_lb126_skip0_b10_weekly,,,0.00046253469010175765,0.2092601113665938,10.0
cross_momentum_lb126_skip0_b10_monthly,,,0.0004432624113475177,0.20007350885543304,10.0
cross_momentum_lb252_skip21_b10_weekly,,,0.00042517006802721087,0.16347658161312134,10.0
cross_reversal_lb21_skip0_b10_weekly,,,0.00040816326530612246,0.046053079863867974,10.0
low_volatility_lb252_b10_monthly,,,0.000392156862745098,0.2001126514712156,10.0
low_volatility_lb63_b10_monthly,,,0.0003770739064856712,0.16237821391846213,10.0
time_series_reversal_lb21_monthly,,,0.000362844702467344,0.06256813293511905,10.0
low_volatility_lb126_b10_monthly,,,0.00034940600978336826,0.16013169093236015,10.0
cross_reversal_lb21_skip0_b5_weekly,,,0.0003367003367003367,0.034148901605616025,10.0
low_volatility_lb21_b10_monthly,,,0.0003246753246753247,0.16723262237051353,10.0
time_series_reversal_lb252_monthly,,,0.0003132832080200501,0.01,10.0
time_series_reversal_lb126_monthly,,,0.00030248033877797946,0.01,10.0
cross_reversal_lb63_skip0_b3_weekly,,,0.0002922267679719462,0.01,10.0
