design,method,seed,false_discoveries,any_false,first_day
anchored75-fixed-daily,Persistent weighted e-BH,271828,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271828,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271829,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271829,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271830,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271830,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271831,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271831,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271832,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271832,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271833,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271833,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271834,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271834,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271835,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271835,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271836,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271836,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271837,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271837,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271838,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271838,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271839,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271839,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271840,0,0,-1
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),271840,0,0,-1
anchored75-fixed-daily,Persistent weighted e-BH,271841,0,0,-1
