design,method,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314159,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314159,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314160,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314160,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314161,0.0,0.125,0.14285714285714285,0.875,2,2,0,456.5
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314161,0.0,0.125,0.14285714285714285,0.875,2,2,0,464.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314162,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314162,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314163,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314163,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314164,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314164,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314165,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314165,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314166,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314166,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314167,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314167,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314168,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314168,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314169,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,731.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314169,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,731.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314170,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314170,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314171,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314171,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314172,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314172,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314173,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314173,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314174,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314174,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314175,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314175,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314176,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314176,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314177,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314177,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314178,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,486.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314178,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,486.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314179,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314179,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314180,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314180,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314181,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314181,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314182,0.0,0.0625,0.07142857142857142,0.875,1,1,0,139.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314182,0.0,0.0625,0.07142857142857142,0.875,1,1,0,139.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314183,0.0,0.0625,0.07692307692307693,0.8125,1,1,0,122.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314183,0.0,0.0625,0.07692307692307693,0.8125,1,1,0,122.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314184,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,782.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314184,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,782.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314185,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314185,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314186,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314186,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314187,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314187,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314188,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314188,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314189,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314189,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314190,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,1097.0
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314190,0.0,0.0625,0.06666666666666667,0.9375,1,1,0,1097.0
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314191,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314191,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314192,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314192,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314193,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314193,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314194,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314194,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314195,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314195,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314196,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314196,0.0,0.0,0.0,0.625,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314197,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314197,0.0,0.0,0.0,1.0,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314198,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314198,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314199,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314199,0.0,0.0,0.0,0.8125,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314200,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314200,0.0,0.0,0.0,0.9375,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314201,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314201,0.0,0.0,0.0,0.875,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314202,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314202,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,314203,0.0,0.0,0.0,0.75,0,0,0,
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,314203,0.0,0.0,0.0,0.75,0,0,0,
