design,method,annual_sharpe,correlation,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
anchored75-fixed-daily,Persistent weighted e-BH,0.5,0.0,0.014,0.01175,0.01362041292041292,0.8615,0.204,0.188,0.016,536.3522727272727
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.5,0.0,0.014,0.0115,0.013312720612720612,0.8615,0.2,0.184,0.016,535.9659090909091
anchored75-fixed-daily,Persistent weighted e-BH,0.75,0.0,0.013,0.0365,0.03951263736263736,0.9175,0.6,0.584,0.016,705.3156565656566
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),0.75,0.0,0.012,0.0295,0.031956776556776555,0.9175,0.484,0.472,0.012,676.5119047619048
anchored75-fixed-daily,Persistent weighted e-BH,1.0,0.0,0.0058,0.1145,0.1181062271062271,0.96525,1.848,1.832,0.016,755.4812698412699
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),1.0,0.0,0.006,0.0815,0.08400274725274726,0.96525,1.312,1.304,0.008,723.8517271157167
anchored75-fixed-daily,Persistent weighted e-BH,1.25,0.0,0.0018,0.3235,0.3278628205128205,0.986,5.188,5.176,0.012,756.5249664487319
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),1.25,0.0,0.0,0.1895,0.19226593406593406,0.986,3.032,3.032,0.0,717.6046541250246
anchored75-fixed-daily,Persistent weighted e-BH,1.5,0.0,0.0017743589743589743,0.572,0.57485,0.995,9.172,9.152,0.02,707.5588125208125
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),1.5,0.0,0.0015714285714285715,0.35625,0.3580833333333333,0.995,5.712,5.7,0.012,722.4180054834054
anchored75-fixed-daily,Persistent weighted e-BH,1.75,0.0,0.0033574925074925073,0.79075,0.7918166666666667,0.99875,12.696,12.652,0.044,628.6435517871017
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),1.75,0.0,0.0013,0.55975,0.5605666666666668,0.99875,8.964,8.956,0.008,701.1547578310579
anchored75-fixed-daily,Persistent weighted e-BH,2.0,0.0,0.0027245098039215686,0.91475,0.915,0.99975,14.68,14.636,0.044,539.181341991342
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),2.0,0.0,0.0,0.74225,0.74245,0.99975,11.876,11.876,0.0,656.681728937729
anchored75-fixed-daily,Persistent weighted e-BH,2.25,0.0,0.0023823529411764704,0.9755,0.9755,1.0,15.648,15.608,0.04,461.05175695970695
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),2.25,0.0,0.0,0.888,0.888,1.0,14.208,14.208,0.0,596.710579070929
anchored75-fixed-daily,Persistent weighted e-BH,2.5,0.0,0.0023529411764705885,0.993,0.993,1.0,15.928,15.888,0.04,392.4801142857143
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),2.5,0.0,0.0,0.95525,0.95525,1.0,15.284,15.284,0.0,533.4577234432234
anchored75-fixed-daily,Persistent weighted e-BH,2.75,0.0,0.0018970588235294116,0.998,0.998,1.0,16.0,15.968,0.032,338.99638333333337
anchored75-fixed-daily,Proposal e-alpha-spending (FWER),2.75,0.0,0.0,0.9875,0.9875,1.0,15.8,15.8,0.0,471.4634571428571
anchored75-fixed-daily,Persistent weighted e-BH,3.0,0.0,0.003477124183006536,1.0,1.0,1.0,16.06,16.0,0.06,290.27
