design,method,annual_sharpe,correlation,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,true_discoveries,false_discoveries,delay
campaign75-geometric-daily,Persistent weighted e-BH,0.5,0.0,0.022,0.0175,0.02015164835164835,0.8615,0.312,0.28,0.032,668.2946428571429
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),0.5,0.0,0.02333333333333333,0.01525,0.01748040293040293,0.8615,0.272,0.244,0.028,649.5
campaign75-geometric-daily,Persistent weighted e-BH,0.75,0.0,0.01933333333333333,0.05425,0.058862271062271064,0.9175,0.9,0.868,0.032,749.4375603864734
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),0.75,0.0,0.012,0.0445,0.04836593406593406,0.9175,0.728,0.712,0.016,735.4403892944039
campaign75-geometric-daily,Persistent weighted e-BH,1.0,0.0,0.01570952380952381,0.1755,0.18139139194139192,0.96525,2.872,2.808,0.064,720.5700775193799
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.0,0.0,0.0106,0.1155,0.11946282051282052,0.96525,1.88,1.848,0.032,705.8280348759223
campaign75-geometric-daily,Persistent weighted e-BH,1.25,0.0,0.013706338106338107,0.415,0.4204956043956044,0.986,6.744,6.64,0.104,708.1920291444388
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.25,0.0,0.00346031746031746,0.25625,0.25986410256410253,0.986,4.12,4.1,0.02,717.8528399311531
campaign75-geometric-daily,Persistent weighted e-BH,1.5,0.0,0.015313947163947165,0.67725,0.6805666666666668,0.995,11.024,10.836,0.188,648.9833817626818
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.5,0.0,0.0017444444444444445,0.44075,0.44295,0.995,7.068,7.052,0.016,701.0591163059163
campaign75-geometric-daily,Persistent weighted e-BH,1.75,0.0,0.017389242130418602,0.85275,0.8539,0.99875,13.904,13.644,0.26,565.4715963869464
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.75,0.0,0.0024602175602175605,0.63825,0.6390666666666667,0.99875,10.236,10.212,0.024,671.6369246420247
campaign75-geometric-daily,Persistent weighted e-BH,2.0,0.0,0.018061436018401964,0.943,0.94325,0.99975,15.384,15.088,0.296,484.5119537795538
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.0,0.0,0.0002666666666666667,0.80925,0.8094666666666667,0.99975,12.952,12.948,0.004,624.1173466921966
campaign75-geometric-daily,Persistent weighted e-BH,2.25,0.0,0.018945304437564498,0.98575,0.98575,1.0,16.096,15.772,0.324,414.6793785714286
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.25,0.0,0.0007352941176470589,0.9255,0.9255,1.0,14.82,14.808,0.012,561.5682107226107
campaign75-geometric-daily,Persistent weighted e-BH,2.5,0.0,0.021017733058135535,0.9965,0.9965,1.0,16.308,15.944,0.364,354.53411666666665
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.5,0.0,0.0007058823529411764,0.97675,0.97675,1.0,15.64,15.628,0.012,501.8133091575092
campaign75-geometric-daily,Persistent weighted e-BH,2.75,0.0,0.0236078431372549,0.99925,0.99925,1.0,16.396,15.988,0.408,308.05455
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.75,0.0,0.0014117647058823528,0.99125,0.99125,1.0,15.884,15.86,0.024,442.43350952380956
campaign75-geometric-daily,Persistent weighted e-BH,3.0,0.0,0.022857929136566906,1.0,1.0,1.0,16.4,16.0,0.4,263.96575
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),3.0,0.0,0.00047058823529411766,0.9975,0.9975,1.0,15.968,15.96,0.008,385.17691666666667
campaign75-geometric-daily,Persistent weighted e-BH,0.5,0.5,0.012285714285714285,0.014,0.015133233433233433,0.91175,0.272,0.224,0.048,599.1186666666667
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),0.5,0.5,0.013333333333333334,0.008,0.00872132867132867,0.91175,0.144,0.128,0.016,582.0
campaign75-geometric-daily,Persistent weighted e-BH,0.75,0.5,0.007972122322122322,0.06975,0.0717058608058608,0.97425,1.212,1.116,0.096,738.5103533072711
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),0.75,0.5,0.0016666666666666666,0.0335,0.034603479853479856,0.97425,0.544,0.536,0.008,745.1811594202899
campaign75-geometric-daily,Persistent weighted e-BH,1.0,0.5,0.01629258424753781,0.23225,0.23376666666666665,0.99425,4.004,3.716,0.288,723.6335265498856
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.0,0.5,0.0019717171717171717,0.1245,0.12551666666666667,0.99425,2.008,1.992,0.016,720.0647291795507
campaign75-geometric-daily,Persistent weighted e-BH,1.25,0.5,0.02070534096142518,0.4375,0.43773333333333336,0.99925,7.428,7.0,0.428,701.6313367604617
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.25,0.5,0.0007058823529411764,0.2755,0.2757,0.99925,4.42,4.408,0.012,766.0678002482572
campaign75-geometric-daily,Persistent weighted e-BH,1.5,0.5,0.011872986980636173,0.69,0.69,1.0,11.268,11.04,0.228,645.8351315929441
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.5,0.5,0.00023529411764705883,0.4645,0.4645,1.0,7.436,7.432,0.004,735.8134198498261
campaign75-geometric-daily,Persistent weighted e-BH,1.75,0.5,0.012214164810542518,0.841,0.841,1.0,13.728,13.456,0.272,591.350766983017
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),1.75,0.5,0.0007372549019607844,0.63625,0.63625,1.0,10.192,10.18,0.012,707.9953134399203
campaign75-geometric-daily,Persistent weighted e-BH,2.0,0.5,0.017162801839090663,0.93325,0.93325,1.0,15.3,14.932,0.368,505.50535174887585
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.0,0.5,0.00023529411764705883,0.821,0.821,1.0,13.14,13.136,0.004,655.5779899930503
campaign75-geometric-daily,Persistent weighted e-BH,2.25,0.5,0.015598794490683035,0.987,0.987,1.0,16.104,15.792,0.312,408.8119613553113
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.25,0.5,0.00023529411764705883,0.93025,0.93025,1.0,14.888,14.884,0.004,571.9460427294928
campaign75-geometric-daily,Persistent weighted e-BH,2.5,0.5,0.0098207336523126,0.99275,0.99275,1.0,16.064,15.884,0.18,348.82620622710624
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.5,0.5,0.00047058823529411766,0.96925,0.96925,1.0,15.516,15.508,0.008,504.65916368631366
campaign75-geometric-daily,Persistent weighted e-BH,2.75,0.5,0.01958913111138175,0.9995,0.9995,1.0,16.396,15.992,0.404,304.6592166666667
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),2.75,0.5,0.00023529411764705883,0.99325,0.99325,1.0,15.896,15.892,0.004,441.2690600732601
campaign75-geometric-daily,Persistent weighted e-BH,3.0,0.5,0.017736309331624987,1.0,1.0,1.0,16.352,16.0,0.352,269.34475
campaign75-geometric-daily,Proposal e-alpha-spending (FWER),3.0,0.5,0.00047058823529411766,0.99825,0.99825,1.0,15.98,15.972,0.008,395.1673119047619
