method,cost_bps,sample,selected,annual_return,annual_volatility,sharpe,certainty_equivalent,max_drawdown,cvar_5_daily,annual_turnover
SAFE-ALPHA,2.0,2018-01-22--2026-05-29,1,0.09955122940416462,0.1976545459568659,0.5036627360237373,0.0409502500980424,-0.38704342393179725,-0.029544996471343076,0.2765138852769532
Ungated adaptive top-5,2.0,2007-01-03--2026-05-29,5,0.04066676734299793,0.108672242955188,0.37421485226698825,0.022952282759630818,-0.3175131612457833,-0.01690778183344776,6.498577244202322
Fixed train/validation/test,2.0,2015-01-02--2026-05-29,5,0.032441591065177175,0.07546167483133345,0.42990817706721074,0.02389989451265232,-0.21744744479747335,-0.012000650330682597,2.282313110021897
Full-sample top-5,2.0,2007-01-03--2026-05-29 (in sample),5,0.06970471106847737,0.08232649521102343,0.8466862446871659,0.05953823334788137,-0.16936080396026254,-0.01243402175483273,6.075214168821444
SAFE-ALPHA,5.0,2018-01-22--2026-05-29,1,0.09946905840088476,0.19765513850107755,0.5032454969560152,0.04086772773706454,-0.38711465818653346,-0.029545415418676814,0.27652219997636734
Ungated adaptive top-5,5.0,2007-01-03--2026-05-29,5,0.03984532048480125,0.11193196178949978,0.35597804101508296,0.021052174379732193,-0.33986926365137304,-0.017347332327436606,6.212399548955089
Fixed train/validation/test,5.0,2015-01-02--2026-05-29,5,0.03175676288473534,0.07545807638593495,0.4208530671032938,0.023215880946936954,-0.2188817517219256,-0.01200265625504464,2.282432312834752
Full-sample top-5,5.0,2007-01-03--2026-05-29 (in sample),5,0.06788592004482301,0.08231702500330004,0.8246886964403963,0.057721781136732125,-0.17145546299481795,-0.012440373834397002,6.0756641375829386
SAFE-ALPHA,10.0,2018-01-29--2026-05-29,1,0.09785396827437794,0.19787067138639072,0.49453497877557717,0.03912476438202641,-0.38467611299686544,-0.029546113671890598,0.2771964404533417
Ungated adaptive top-5,10.0,2007-01-03--2026-05-29,5,0.040737010526831444,0.11280717691426573,0.36112073399187955,0.021648821781781773,-0.3267666487857308,-0.017432896760361017,5.941338893550034
Fixed train/validation/test,10.0,2015-01-02--2026-05-29,5,0.030615218349082964,0.07545296331943627,0.405752365476634,0.02207549383855667,-0.2212669540810035,-0.012005999807147623,2.2826370291061426
Full-sample top-5,10.0,2007-01-03--2026-05-29 (in sample),5,0.06427394221771704,0.08102026845060158,0.7933069520363927,0.054427516368005725,-0.14144626187157394,-0.012242552176527198,5.665503372176223
