method,cost_bps,sample,selected,annual_return,annual_volatility,sharpe,certainty_equivalent,max_drawdown,cvar_5_daily,annual_turnover
SAFE-ALPHA,2.0,2018-01-22--2026-05-29,1,0.09955122940416462,0.1976545459568659,0.5036627360237373,0.0409502500980424,-0.38704342393179725,-0.029544996471343076,0.2765138852769532
Ungated adaptive top-5,2.0,2018-01-22--2026-05-29,5,0.04140670520659879,0.10417941676893208,0.3974557210128951,0.02512667888912652,-0.21605793767914983,-0.01586312510975056,7.11293979317364
Fixed train/validation/test,2.0,2018-01-22--2026-05-29,5,0.026251632426715257,0.08108211489028774,0.32376600514473947,0.016390168394092526,-0.21744744479747324,-0.012930927828979201,2.308236277748305
Full-sample top-5,2.0,2018-01-22--2026-05-29 (selected in sample),5,0.09094683507046498,0.08953932115057162,1.0157195062661517,0.07892090002230719,-0.10392587614014015,-0.013287562243415834,6.1387272403716135
SAFE-ALPHA,5.0,2018-01-22--2026-05-29,1,0.09946905840088476,0.19765513850107755,0.5032454969560152,0.04086772773706454,-0.38711465818653346,-0.029545415418676814,0.27652219997636734
Ungated adaptive top-5,5.0,2018-01-22--2026-05-29,5,0.043362542831077884,0.10581693938683338,0.40978829176449805,0.026566705839282726,-0.22589004629486564,-0.01607014349531585,6.746257033533929
Fixed train/validation/test,5.0,2018-01-22--2026-05-29,5,0.02555884761798399,0.08107905823274372,0.3152336518835152,0.01569812709212102,-0.21888175172192526,-0.01293276261196212,2.308361969856853
Full-sample top-5,5.0,2018-01-22--2026-05-29 (selected in sample),5,0.08911247732384463,0.08952862722681523,0.9953517671848546,0.07708941468416756,-0.10546585789792084,-0.013293221042158602,6.139181028943335
SAFE-ALPHA,10.0,2018-01-29--2026-05-29,1,0.09785396827437794,0.19787067138639072,0.49453497877557717,0.03912476438202641,-0.38467611299686544,-0.029546113671890598,0.2771964404533417
Ungated adaptive top-5,10.0,2018-01-29--2026-05-29,5,0.04316482181417808,0.10839971583503837,0.39820050709234234,0.025539074224502478,-0.2238084183935286,-0.016442555489107533,6.454907833083195
Fixed train/validation/test,10.0,2018-01-29--2026-05-29,5,0.023209841791483988,0.08113372302553307,0.28606898495437927,0.013335820273508119,-0.21669301012446274,-0.012935821092346603,2.3137826180420875
Full-sample top-5,10.0,2018-01-29--2026-05-29 (selected in sample),5,0.07830617768675247,0.08871128164404143,0.8827082219481399,0.0665016404503598,-0.11971055732881086,-0.013093737360074135,5.668751668439906
