method,annual_sharpe,correlation,mean_fdp,mean_conditional_power,mean_end_to_end_power,mean_proposal_recall,mean_discoveries,mean_delay_days,repetitions
SAFE-ALPHA,0.5,0,0.016,0.0156501831502,0.01375,0.8615,0.24,591.56122449,250
Matched terminal weighted e-BH,0.5,0,0.004,0.00434212454212,0.00375,0.8615,0.064,1214.57692308,250
SAFE-ALPHA,0.75,0,0.015,0.0529487179487,0.049,0.9175,0.804,712.919312169,250
Matched terminal weighted e-BH,0.75,0,0,0.0212956043956,0.01975,0.9175,0.316,1217.23076923,250
SAFE-ALPHA,1,0,0.00533333333333,0.131445421245,0.12725,0.96525,2.048,709.838757259,250
Matched terminal weighted e-BH,1,0,0,0.0797468864469,0.0775,0.96525,1.24,1202.82753165,250
SAFE-ALPHA,1.25,0,0.00237142857143,0.319898534799,0.3155,0.986,5.06,719.424080903,250
Matched terminal weighted e-BH,1.25,0,0,0.222365934066,0.21925,0.986,3.508,1188.07060324,250
SAFE-ALPHA,1.5,0,0.00149696969697,0.53975,0.537,0.995,8.608,675.582679554,250
Matched terminal weighted e-BH,1.5,0,0.000944444444444,0.439933333333,0.43775,0.995,7.012,1170.0263708,250
SAFE-ALPHA,1.75,0,0.00134871794872,0.7457,0.74475,0.99875,11.932,602.493765257,250
Matched terminal weighted e-BH,1.75,0,0,0.659616666667,0.65875,0.99875,10.54,1154.29600142,250
SAFE-ALPHA,2,0,0.000485294117647,0.88325,0.883,0.99975,14.136,528.521261045,250
Matched terminal weighted e-BH,2,0,0,0.841233333333,0.841,0.99975,13.456,1147.4217818,250
SAFE-ALPHA,2.25,0,0.00120588235294,0.96225,0.96225,1,15.416,459.404172161,250
Matched terminal weighted e-BH,2.25,0,0.000235294117647,0.94425,0.94425,1,15.112,1143.1733544,250
SAFE-ALPHA,2.5,0,0,0.991,0.991,1,15.856,395.15872619,250
Matched terminal weighted e-BH,2.5,0,0,0.98225,0.98225,1,15.716,1143.07492857,250
SAFE-ALPHA,2.75,0,0.000705882352941,0.9965,0.9965,1,15.956,337.780333333,250
Matched terminal weighted e-BH,2.75,0,0,0.9955,0.9955,1,15.928,1144.63725,250
SAFE-ALPHA,3,0,0,0.99925,0.99925,1,15.988,290.6045,250
Matched terminal weighted e-BH,3,0,0,0.999,0.999,1,15.984,1145.55475,250
SAFE-ALPHA,0.5,0.5,0.0145714285714,0.0192171162171,0.0175,0.91175,0.32,674.714912281,250
Matched terminal weighted e-BH,0.5,0.5,0.002,0.00652673992674,0.006,0.91175,0.1,1229,250
SAFE-ALPHA,0.75,0.5,0.004,0.0524963369963,0.05125,0.97425,0.844,712.766433747,250
Matched terminal weighted e-BH,0.75,0.5,0.00137142857143,0.0247071428571,0.024,0.97425,0.392,1232.13043478,250
SAFE-ALPHA,1,0.5,0.00181587301587,0.1844,0.18325,0.99425,2.952,728.940211897,250
Matched terminal weighted e-BH,1,0.5,0,0.110883333333,0.11,0.99425,1.76,1217.250914,250
SAFE-ALPHA,1.25,0.5,0.00140555555556,0.360233333333,0.36,0.99925,5.78,719.39734825,250
Matched terminal weighted e-BH,1.25,0.5,0.000730158730159,0.278966666667,0.27875,0.99925,4.468,1199.57434687,250
SAFE-ALPHA,1.5,0.5,0,0.5775,0.5775,1,9.24,684.118260069,250
Matched terminal weighted e-BH,1.5,0.5,0,0.47875,0.47875,1,7.66,1182.7093793,250
SAFE-ALPHA,1.75,0.5,0.000705882352941,0.74,0.74,1,11.852,627.368008414,250
Matched terminal weighted e-BH,1.75,0.5,0,0.6565,0.6565,1,10.504,1169.76433061,250
SAFE-ALPHA,2,0.5,0.000235294117647,0.88475,0.88475,1,14.16,558.576480603,250
Matched terminal weighted e-BH,2,0.5,0,0.848,0.848,1,13.568,1155.24901655,250
SAFE-ALPHA,2.25,0.5,0.000235294117647,0.9655,0.9655,1,15.452,457.886838578,250
Matched terminal weighted e-BH,2.25,0.5,0,0.947,0.947,1,15.152,1149.9282992,250
SAFE-ALPHA,2.5,0.5,0.000235294117647,0.9875,0.9875,1,15.804,389.693646936,250
Matched terminal weighted e-BH,2.5,0.5,0,0.97775,0.97775,1,15.644,1147.72044081,250
SAFE-ALPHA,2.75,0.5,0,0.9975,0.9975,1,15.96,336.999714286,250
Matched terminal weighted e-BH,2.75,0.5,0,0.99625,0.99625,1,15.94,1146.67114286,250
SAFE-ALPHA,3,0.5,0.000444444444444,0.99975,0.99975,1,16.004,296.758666667,250
Matched terminal weighted e-BH,3,0.5,0,0.99975,0.99975,1,15.996,1146.52625,250
