method,annual_sharpe,correlation,mean_fdp,mean_conditional_power,mean_end_to_end_power,mean_proposal_recall,mean_discoveries,mean_delay_days,repetitions
SAFE-ALPHA,0.5,0,0.016,0.0156501831502,0.01375,0.8615,0.24,591.56122449,250
Matched terminal weighted e-BH,0.5,0,0.004,0.00434212454212,0.00375,0.8615,0.064,1214.57692308,250
SAFE-ALPHA,0.75,0,0.015,0.0529487179487,0.049,0.9175,0.804,712.805555556,250
Matched terminal weighted e-BH,0.75,0,0,0.0212956043956,0.01975,0.9175,0.316,1217.23076923,250
SAFE-ALPHA,1,0,0.00533333333333,0.132695421245,0.1285,0.96525,2.068,710.245667828,250
Matched terminal weighted e-BH,1,0,0,0.0802802197802,0.078,0.96525,1.248,1202.82753165,250
SAFE-ALPHA,1.25,0,0.00237142857143,0.324948534799,0.3205,0.986,5.14,718.626685283,250
Matched terminal weighted e-BH,1.25,0,0,0.226718315018,0.2235,0.986,3.576,1188.56242497,250
SAFE-ALPHA,1.5,0,0.00149696969697,0.544283333333,0.5415,0.995,8.68,675.277450949,250
Matched terminal weighted e-BH,1.5,0,0.000944444444444,0.448,0.44575,0.995,7.14,1170.96488162,250
SAFE-ALPHA,1.75,0,0.00134871794872,0.7472,0.74625,0.99875,11.956,598.394716223,250
Matched terminal weighted e-BH,1.75,0,0.000844444444444,0.667883333333,0.667,0.99875,10.68,1155.13309649,250
SAFE-ALPHA,2,0,0.000485294117647,0.885,0.88475,0.99975,14.164,526.736159113,250
Matched terminal weighted e-BH,2,0,0,0.843983333333,0.84375,0.99975,13.5,1147.78084774,250
SAFE-ALPHA,2.25,0,0.00120588235294,0.9625,0.9625,1,15.42,456.565328755,250
Matched terminal weighted e-BH,2.25,0,0.000235294117647,0.946,0.946,1,15.14,1143.39723352,250
SAFE-ALPHA,2.5,0,0,0.991,0.991,1,15.856,393.734142857,250
Matched terminal weighted e-BH,2.5,0,0,0.98225,0.98225,1,15.716,1143.07492857,250
SAFE-ALPHA,2.75,0,0.000705882352941,0.9965,0.9965,1,15.956,336.258583333,250
Matched terminal weighted e-BH,2.75,0,0,0.9955,0.9955,1,15.928,1144.63725,250
SAFE-ALPHA,3,0,0,0.99925,0.99925,1,15.988,289.4445,250
Matched terminal weighted e-BH,3,0,0,0.999,0.999,1,15.984,1145.55475,250
SAFE-ALPHA,0.5,0.5,0.0145714285714,0.0192171162171,0.0175,0.91175,0.32,673.311403509,250
Matched terminal weighted e-BH,0.5,0.5,0.002,0.00652673992674,0.006,0.91175,0.1,1229,250
SAFE-ALPHA,0.75,0.5,0.005,0.0530296703297,0.05175,0.97425,0.856,712.130111284,250
Matched terminal weighted e-BH,0.75,0.5,0.00137142857143,0.0262238095238,0.0255,0.97425,0.416,1232.56382979,250
SAFE-ALPHA,1,0.5,0.00181587301587,0.1879,0.18675,0.99425,3.008,730.799950067,250
Matched terminal weighted e-BH,1,0.5,0,0.113633333333,0.11275,0.99425,1.804,1218.33600713,250
SAFE-ALPHA,1.25,0.5,0.00136111111111,0.361983333333,0.36175,0.99925,5.808,716.589101007,250
Matched terminal weighted e-BH,1.25,0.5,0.000730158730159,0.281466666667,0.28125,0.99925,4.508,1199.56790659,250
SAFE-ALPHA,1.5,0.5,0,0.57925,0.57925,1,9.268,679.808298938,250
Matched terminal weighted e-BH,1.5,0.5,0,0.48325,0.48325,1,7.732,1182.80261571,250
SAFE-ALPHA,1.75,0.5,0.000705882352941,0.74325,0.74325,1,11.904,626.165396957,250
Matched terminal weighted e-BH,1.75,0.5,0,0.66475,0.66475,1,10.636,1170.36225842,250
SAFE-ALPHA,2,0.5,0.000235294117647,0.887,0.887,1,14.196,557.3180333,250
Matched terminal weighted e-BH,2,0.5,0,0.851,0.851,1,13.616,1155.57316813,250
SAFE-ALPHA,2.25,0.5,0.000235294117647,0.9655,0.9655,1,15.452,456.384020646,250
Matched terminal weighted e-BH,2.25,0.5,0,0.948,0.948,1,15.168,1150.03884965,250
SAFE-ALPHA,2.5,0.5,0.000235294117647,0.98775,0.98775,1,15.808,388.96395646,250
Matched terminal weighted e-BH,2.5,0.5,0,0.97775,0.97775,1,15.644,1147.72044081,250
SAFE-ALPHA,2.75,0.5,0,0.99775,0.99775,1,15.964,336.101547619,250
Matched terminal weighted e-BH,2.75,0.5,0,0.9965,0.9965,1,15.944,1146.70114286,250
SAFE-ALPHA,3,0.5,0.000444444444444,0.99975,0.99975,1,16.004,295.907416667,250
Matched terminal weighted e-BH,3,0.5,0,0.99975,0.99975,1,15.996,1146.52625,250
