annual_sharpe,correlation,seed_source,seed_first,seed_last,repetitions
0.5,0.0,archived_314159_anchor,314159,314408,250
0.75,0.0,inserted_20260730_block,20260730,20260979,250
1.0,0.0,archived_314159_anchor,314409,314658,250
1.25,0.0,inserted_20260730_block,20260980,20261229,250
1.5,0.0,archived_314159_anchor,314659,314908,250
1.75,0.0,inserted_20260730_block,20261230,20261479,250
2.0,0.0,archived_314159_anchor,314909,315158,250
2.25,0.0,inserted_20260730_block,20261480,20261729,250
2.5,0.0,inserted_20260730_block,20261730,20261979,250
2.75,0.0,inserted_20260730_block,20261980,20262229,250
3.0,0.0,archived_314159_anchor,315159,315408,250
0.5,0.5,archived_314159_anchor,315409,315658,250
0.75,0.5,inserted_20260730_block,20262230,20262479,250
1.0,0.5,archived_314159_anchor,315659,315908,250
1.25,0.5,inserted_20260730_block,20262480,20262729,250
1.5,0.5,archived_314159_anchor,315909,316158,250
1.75,0.5,inserted_20260730_block,20262730,20262979,250
2.0,0.5,archived_314159_anchor,316159,316408,250
2.25,0.5,inserted_20260730_block,20262980,20263229,250
2.5,0.5,inserted_20260730_block,20263230,20263479,250
2.75,0.5,inserted_20260730_block,20263480,20263729,250
3.0,0.5,archived_314159_anchor,316409,316658,250
