annual_sharpe,correlation,seed,seed_source,proposal_recall,method,fdp,conditional_power,end_to_end_power,discoveries,delay_days
0.5,0,314159,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314159,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314160,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314160,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314161,archived_314159_anchor,0.875,SAFE-ALPHA,0,0.142857142857,0.125,2,458.5
0.5,0,314161,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0.0714285714286,0.0625,1,1139
0.5,0,314162,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314162,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314163,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314163,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314164,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314164,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314165,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314165,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314166,archived_314159_anchor,1,SAFE-ALPHA,0,0,0,0,
0.5,0,314166,archived_314159_anchor,1,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314167,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314167,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314168,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314168,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314169,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,726
0.5,0,314169,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314170,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314170,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314171,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314171,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314172,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314172,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314173,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314173,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314174,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0,0,0,
0.5,0,314174,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314175,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
0.5,0,314175,archived_314159_anchor,0.875,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314176,archived_314159_anchor,0.75,SAFE-ALPHA,0,0,0,0,
0.5,0,314176,archived_314159_anchor,0.75,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314177,archived_314159_anchor,0.8125,SAFE-ALPHA,0,0,0,0,
0.5,0,314177,archived_314159_anchor,0.8125,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314178,archived_314159_anchor,0.9375,SAFE-ALPHA,0,0.0666666666667,0.0625,1,486
0.5,0,314178,archived_314159_anchor,0.9375,Matched terminal weighted e-BH,0,0,0,0,
0.5,0,314179,archived_314159_anchor,0.875,SAFE-ALPHA,0,0,0,0,
