seed,safe_count,leakage_count,sequential_count,holdout_count,safe_first_day,leakage_first_day,sequential_first_day,holdout_first_day
271828,0,64,22,3,-1,241,126,2081
271829,0,64,24,3,-1,261,66,316
271830,2,65,21,4,1771,231,171,631
271831,0,72,28,7,-1,271,441,631
271832,0,65,23,3,-1,216,831,1516
271833,0,65,36,7,-1,261,146,256
271834,0,61,26,6,-1,191,126,821
271835,0,63,14,4,-1,256,176,256
271836,0,61,26,2,-1,216,126,2901
271837,0,59,25,7,-1,276,481,1891
271838,0,62,16,2,-1,221,221,946
271839,0,67,27,2,-1,251,1171,2081
271840,0,67,20,1,-1,441,356,441
271841,0,59,31,8,-1,116,631,821
271842,0,66,25,6,-1,206,181,1701
271843,0,64,26,7,-1,276,91,256
271844,0,60,22,7,-1,231,131,316
271845,0,52,30,3,-1,321,316,506
271846,1,49,34,1,1091,191,171,316
271847,0,61,18,1,-1,306,266,1766
271848,0,67,17,2,-1,371,1146,2016
271849,0,61,28,10,-1,206,126,1201
271850,0,70,30,3,-1,306,201,3906
271851,0,65,21,2,-1,271,381,1891
271852,0,65,18,0,-1,226,696,-1
271853,0,60,21,5,-1,201,91,256
271854,0,65,30,3,-1,201,136,756
271855,0,62,32,9,-1,291,846,1386
271856,1,68,28,4,2506,266,1126,1261
271857,0,61,18,1,-1,266,641,4476
271858,0,62,9,5,-1,246,111,256
271859,0,67,36,9,-1,201,166,1451
271860,0,64,16,3,-1,296,1136,1516
271861,0,71,42,8,-1,266,256,441
271862,0,64,6,0,-1,346,1156,-1
271863,0,70,16,0,-1,266,136,-1
271864,0,61,29,2,-1,306,126,1201
271865,0,61,31,2,-1,236,266,2586
271866,0,68,24,3,-1,181,66,821
271867,0,68,23,2,-1,201,151,316
271868,0,60,15,2,-1,291,156,4666
271869,0,60,27,3,-1,216,811,2711
271870,0,62,31,4,-1,206,886,1071
271871,0,51,38,6,-1,221,451,2331
271872,0,64,19,2,-1,226,66,571
271873,0,70,19,5,-1,221,191,1261
271874,0,56,16,2,-1,271,661,1326
271875,0,70,18,1,-1,211,431,4351
271876,0,66,26,3,-1,266,101,1261
271877,0,66,13,3,-1,226,1076,4476
271878,0,60,12,0,-1,306,701,-1
271879,0,59,36,5,-1,366,826,1576
271880,0,59,24,2,-1,261,766,3906
271881,0,62,14,4,-1,341,1641,1891
271882,0,65,14,1,-1,216,1026,4221
271883,0,56,28,2,-1,256,381,886
271884,0,62,32,7,-1,301,66,1956
271885,0,53,35,6,-1,211,291,506
271886,0,68,19,4,-1,266,76,256
271887,0,64,16,5,-1,236,556,696
271888,0,67,16,3,-1,231,141,2586
271889,0,62,28,2,-1,211,231,1201
271890,0,68,22,4,-1,176,276,3591
271891,0,62,22,3,-1,261,246,1956
271892,0,61,31,3,-1,231,191,1831
271893,0,57,25,1,-1,206,381,2586
271894,0,64,20,3,-1,246,306,1701
271895,0,67,30,9,-1,196,66,381
271896,0,66,24,1,-1,261,126,1516
271897,0,60,14,0,-1,206,371,-1
271898,0,60,25,5,-1,161,206,1956
271899,0,55,27,5,-1,181,1516,2081
271900,0,65,29,6,-1,176,66,256
271901,0,62,18,4,-1,261,896,1956
271902,0,58,18,2,-1,251,571,696
271903,0,61,42,15,-1,266,886,1071
271904,0,61,21,5,-1,261,571,756
271905,0,66,7,0,-1,261,741,-1
271906,0,61,25,5,-1,201,66,2396
271907,0,72,30,10,-1,196,131,381
271908,0,65,17,3,-1,221,801,4286
271909,0,62,17,4,-1,276,696,1516
271910,0,63,32,4,-1,291,316,316
271911,0,63,25,4,-1,236,651,2081
271912,0,62,12,1,-1,191,311,1201
271913,0,59,17,2,-1,171,151,631
271914,0,65,18,2,-1,211,66,1451
271915,0,57,13,3,-1,266,846,3591
271916,0,59,26,4,-1,231,886,1831
271917,0,65,17,3,-1,196,66,256
271918,0,55,28,2,-1,366,191,1386
271919,0,66,35,9,-1,296,586,756
271920,0,59,37,6,-1,286,66,1326
271921,0,58,28,3,-1,241,391,631
271922,0,60,30,1,-1,296,466,3091
271923,0,65,17,3,-1,226,661,756
271924,0,61,34,7,-1,296,826,946
271925,0,59,25,1,-1,226,271,2146
271926,0,59,25,6,-1,166,191,381
271927,0,63,31,3,-1,306,646,1956
271928,0,55,31,4,-1,181,571,1011
271929,0,60,35,5,-1,211,126,1136
271930,0,65,23,3,-1,281,131,256
271931,0,67,25,2,-1,236,386,2711
271932,0,56,24,8,-1,206,216,571
271933,0,54,31,2,-1,256,161,946
271934,0,54,29,4,-1,321,886,1956
271935,0,65,26,3,-1,451,221,1766
271936,0,62,26,5,-1,231,406,571
271937,0,55,28,4,-1,271,821,886
271938,0,63,26,9,-1,271,151,316
271939,0,67,23,1,-1,326,211,3151
271940,0,64,25,5,-1,301,291,1576
271941,0,61,16,4,-1,206,126,1831
271942,0,68,33,9,-1,321,131,1956
271943,0,68,14,2,-1,261,221,316
271944,0,63,17,2,-1,321,256,1326
271945,0,65,27,8,-1,176,306,441
271946,0,64,19,1,-1,236,256,1136
271947,0,68,28,3,-1,291,76,506
271948,0,67,28,2,-1,251,66,256
271949,1,65,13,4,2436,231,126,316
271950,0,63,24,3,-1,286,1001,1831
271951,0,62,16,2,-1,301,66,1261
271952,0,65,15,4,-1,226,1071,2461
271953,0,62,21,0,-1,251,111,-1
271954,0,62,22,2,-1,301,191,2331
271955,0,64,20,2,-1,296,151,1261
271956,0,71,16,5,-1,326,201,631
271957,0,63,13,3,-1,166,111,1766
271958,0,62,23,6,-1,161,211,316
271959,0,59,23,5,-1,266,66,2271
271960,9,72,41,13,1346,181,451,571
271961,0,66,27,2,-1,281,751,886
271962,0,64,15,1,-1,261,696,1831
271963,0,56,28,0,-1,271,1021,-1
271964,0,61,28,4,-1,261,636,2016
271965,0,52,35,2,-1,106,191,2146
271966,0,60,16,1,-1,261,266,4411
271967,0,68,17,4,-1,371,96,1326
271968,0,55,41,4,-1,256,211,1261
271969,0,57,24,3,-1,211,106,696
271970,0,62,23,5,-1,151,146,2146
271971,5,66,30,9,1151,281,126,316
271972,0,66,28,2,-1,336,156,506
271973,1,54,18,5,481,161,126,316
271974,1,56,33,5,4226,286,126,631
271975,0,65,42,12,-1,266,86,256
271976,0,60,16,4,-1,301,131,316
271977,0,63,26,5,-1,221,366,571
271978,0,63,25,5,-1,236,271,821
271979,0,62,22,2,-1,306,336,1451
271980,0,59,26,5,-1,306,421,441
271981,0,61,39,5,-1,301,126,696
271982,0,60,31,3,-1,271,146,2081
271983,0,62,29,4,-1,266,846,2711
271984,0,61,13,1,-1,251,896,4161
271985,0,64,24,2,-1,216,126,4286
271986,0,62,21,1,-1,256,446,571
271987,0,51,18,6,-1,186,246,571
271988,0,61,24,7,-1,246,576,696
271989,0,66,16,1,-1,311,441,3591
271990,0,64,30,3,-1,236,281,441
271991,0,63,23,2,-1,301,196,1201
271992,0,64,23,5,-1,166,631,821
271993,0,57,25,1,-1,361,261,3026
271994,0,60,8,1,-1,246,211,3216
271995,0,56,13,2,-1,216,191,381
271996,0,66,17,1,-1,271,781,2331
271997,0,66,24,2,-1,211,256,1261
271998,0,61,29,12,-1,251,296,441
271999,0,65,13,3,-1,306,441,2776
272000,0,70,15,3,-1,336,796,1891
272001,0,65,34,4,-1,191,391,3656
272002,0,63,26,4,-1,171,76,316
272003,0,57,14,1,-1,171,506,1891
272004,0,60,27,7,-1,306,66,631
272005,0,60,9,0,-1,261,721,-1
272006,0,62,19,2,-1,301,936,2461
272007,0,69,25,2,-1,211,571,1011
272008,0,59,33,4,-1,181,891,1516
272009,0,59,23,3,-1,176,101,256
272010,0,61,23,3,-1,266,546,1766
272011,0,67,10,0,-1,226,441,-1
272012,0,61,12,1,-1,146,216,2331
272013,0,67,33,6,-1,261,141,821
272014,0,66,37,12,-1,261,241,256
272015,0,70,21,8,-1,216,366,821
272016,0,62,32,9,-1,206,111,886
272017,0,58,18,2,-1,231,596,1201
272018,0,67,24,8,-1,131,381,1011
272019,0,65,17,2,-1,321,371,3216
