method,annual_sharpe,correlation,mean_fdp,mean_power,mean_end_to_end_power,mean_proposal_recall,mean_discoveries,mean_delay_days,repetitions
SAFE-ALPHA,0.5,0.0,0.016,0.01565018315018315,0.01375,0.8615,0.24,591.5612244897959,250
Terminal BH,0.5,0.0,0.06664761904761904,0.05643891108891108,0.049,0.8615,0.924,,250
Uncorrected 5%,0.5,0.0,0.3531554334554335,0.248578638028638,0.21425,0.8615,5.34,,250
Top-5 backtest,0.5,0.0,0.3952,0.22027698967698967,0.189,0.8615,5.0,,250
SAFE-ALPHA,1.0,0.0,0.005333333333333333,0.13269542124542125,0.1285,0.96525,2.068,710.2456678281068,250
Terminal BH,1.0,0.0,0.06495394605394605,0.44007637362637364,0.4255,0.96525,7.42,,250
Uncorrected 5%,1.0,0.0,0.14331076943352486,0.6324241758241758,0.61025,0.96525,11.488,,250
Top-5 backtest,1.0,0.0,0.09600000000000002,0.29326208791208785,0.2825,0.96525,5.0,,250
SAFE-ALPHA,1.5,0.0,0.0014969696969696971,0.5442833333333333,0.5415,0.995,8.68,675.277450949051,250
Terminal BH,1.5,0.0,0.0682561755066399,0.8903666666666666,0.886,0.995,15.284,,250
Uncorrected 5%,1.5,0.0,0.09992067676046006,0.9270833333333334,0.9225,0.995,16.476,,250
Top-5 backtest,1.5,0.0,0.0176,0.30861666666666665,0.307,0.995,5.0,,250
SAFE-ALPHA,2.0,0.0,0.0004852941176470588,0.885,0.88475,0.99975,14.164,526.7361591131091,250
Terminal BH,2.0,0.0,0.07003986481354903,0.99125,0.991,0.99975,17.124,,250
Uncorrected 5%,2.0,0.0,0.09545945590357356,0.995,0.99475,0.99975,17.684,,250
Top-5 backtest,2.0,0.0,0.0008,0.3123333333333333,0.31225,0.99975,5.0,,250
SAFE-ALPHA,3.0,0.0,0.0,0.99925,0.99925,1.0,15.988,289.4445,250
Terminal BH,3.0,0.0,0.06959524300948451,1.0,1.0,1.0,17.26,,250
Uncorrected 5%,3.0,0.0,0.09317944415405717,1.0,1.0,1.0,17.72,,250
Top-5 backtest,3.0,0.0,0.0,0.3125,0.3125,1.0,5.0,,250
SAFE-ALPHA,0.5,0.5,0.014571428571428572,0.019217116217116213,0.0175,0.91175,0.32,673.311403508772,250
Terminal BH,0.5,0.5,0.04019869946615691,0.07138516483516483,0.06675,0.91175,1.812,,250
Uncorrected 5%,0.5,0.5,0.14432961504375166,0.22597069597069597,0.207,0.91175,4.796,,250
Top-5 backtest,0.5,0.5,0.276,0.24885617715617717,0.22625,0.91175,5.0,,250
SAFE-ALPHA,1.0,0.5,0.001815873015873016,0.18789999999999998,0.18675,0.99425,3.008,730.7999500665669,250
Terminal BH,1.0,0.5,0.06436323092551394,0.4579,0.455,0.99425,8.676,,250
Uncorrected 5%,1.0,0.5,0.08272670059343641,0.6607999999999999,0.65675,0.99425,12.184,,250
Top-5 backtest,1.0,0.5,0.039200000000000006,0.3020333333333333,0.30025,0.99425,5.0,,250
SAFE-ALPHA,1.5,0.5,0.0,0.57925,0.57925,1.0,9.268,679.8082989382059,250
Terminal BH,1.5,0.5,0.05081147311013005,0.89475,0.89475,1.0,15.44,,250
Uncorrected 5%,1.5,0.5,0.06844216571516208,0.94025,0.94025,1.0,16.476,,250
Top-5 backtest,1.5,0.5,0.0016,0.312,0.312,1.0,5.0,,250
SAFE-ALPHA,2.0,0.5,0.00023529411764705883,0.887,0.887,1.0,14.196,557.3180333000333,250
Terminal BH,2.0,0.5,0.06564700474169462,0.99025,0.99025,1.0,17.444,,250
Uncorrected 5%,2.0,0.5,0.07881764911766007,0.9955,0.9955,1.0,17.724,,250
Top-5 backtest,2.0,0.5,0.0008,0.31225,0.31225,1.0,5.0,,250
SAFE-ALPHA,3.0,0.5,0.0004444444444444444,0.99975,0.99975,1.0,16.004,295.9074166666666,250
Terminal BH,3.0,0.5,0.07140021568157792,1.0,1.0,1.0,17.736,,250
Uncorrected 5%,3.0,0.5,0.08159324871425223,1.0,1.0,1.0,17.864,,250
Top-5 backtest,3.0,0.5,0.0,0.3125,0.3125,1.0,5.0,,250
