design,annual_sharpe,correlation,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
campaign-fixed,1.0,0.5,0.010557590557590557,0.22625,0.22791666666666668,0.9925,3.81,828.2666773645035,0.006944444444444444,0.151875
campaign-hedged,1.0,0.5,0.002755417956656346,0.1525,0.15345833333333334,0.9925,2.49,897.235934461629,0.0022916666666666667,0.1075
telescoping-fixed,1.0,0.5,0.005922619047619048,0.215,0.21633333333333332,0.9925,3.48,797.8994220326457,0.003333333333333333,0.141875
telescoping-hedged,1.0,0.5,0.0013809523809523811,0.15375,0.15470833333333334,0.9925,2.48,883.4602673445956,0.0,0.11875
campaign-fixed,1.5,0.5,0.004287581699346406,0.608125,0.608125,1.0,9.81,696.7260907805644,0.002755417956656346,0.519375
campaign-hedged,1.5,0.5,0.0021671826625387,0.513125,0.513125,1.0,8.25,777.0801794069457,0.0016993464052287583,0.430625
telescoping-fixed,1.5,0.5,0.0,0.555625,0.555625,1.0,8.89,663.4970443388811,0.0,0.459375
telescoping-hedged,1.5,0.5,0.0,0.465,0.465,1.0,7.44,746.8320112635903,0.0,0.4
campaign-fixed,2.0,0.5,0.0034640522875816994,0.9375,0.9375,1.0,15.06,495.9324624449624,0.000588235294117647,0.90875
campaign-hedged,2.0,0.5,0.000588235294117647,0.915625,0.915625,1.0,14.66,585.91526907436,0.0,0.881875
telescoping-fixed,2.0,0.5,0.001176470588235294,0.916875,0.916875,1.0,14.69,517.6301707875458,0.0,0.88
telescoping-hedged,2.0,0.5,0.0,0.875,0.875,1.0,14.0,591.7648030140455,0.0,0.841875
