design,annual_sharpe,correlation,seed,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
telescoping-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-hedged,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored50-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored75-fixed,1.0,0.5,41000000,0.0,0.0,0.0,1.0,0,,0.0,0.0
telescoping-fixed,1.0,0.5,41000001,0.0,0.0625,0.0625,1.0,1,1236.0,0.0,0.0
telescoping-hedged,1.0,0.5,41000001,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign25-fixed,1.0,0.5,41000001,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign50-fixed,1.0,0.5,41000001,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign75-fixed,1.0,0.5,41000001,0.0,0.0,0.0,1.0,0,,0.0,0.0
campaign-hedged,1.0,0.5,41000001,0.0,0.0,0.0,1.0,0,,0.0,0.0
anchored25-fixed,1.0,0.5,41000001,0.0,0.0625,0.0625,1.0,1,1236.0,0.0,0.0
anchored50-fixed,1.0,0.5,41000001,0.0,0.0625,0.0625,1.0,1,1236.0,0.0,0.0
anchored75-fixed,1.0,0.5,41000001,0.0,0.0625,0.0625,1.0,1,1236.0,0.0,0.0
telescoping-fixed,1.0,0.5,41000002,0.0,0.4375,0.4666666666666667,0.9375,7,775.2857142857143,0.0,0.25
telescoping-hedged,1.0,0.5,41000002,0.0,0.3125,0.3333333333333333,0.9375,5,884.0,0.0,0.25
campaign25-fixed,1.0,0.5,41000002,0.0,0.5,0.5333333333333333,0.9375,8,766.625,0.0,0.25
campaign50-fixed,1.0,0.5,41000002,0.0,0.5,0.5333333333333333,0.9375,8,758.5,0.0,0.25
campaign75-fixed,1.0,0.5,41000002,0.0,0.4375,0.4666666666666667,0.9375,7,746.0,0.0,0.1875
campaign-hedged,1.0,0.5,41000002,0.0,0.3125,0.3333333333333333,0.9375,5,838.0,0.0,0.1875
