design,annual_sharpe,correlation,fdp,end_to_end_power,conditional_power,proposal_recall,discoveries,delay,terminal_fdp,terminal_end_to_end_power
anchored25-fixed,1.0,0.5,0.006037581699346406,0.210625,0.21195833333333333,0.9925,3.43,808.10857997558,0.00375,0.14
anchored50-fixed,1.0,0.5,0.00574561403508772,0.199375,0.20058333333333334,0.9925,3.26,804.5026142508285,0.004703947368421052,0.136875
anchored75-fixed,1.0,0.5,0.006057832327855212,0.185,0.18616666666666667,0.9925,3.08,802.8915880060111,0.002755417956656346,0.129375
anchored75-fixed-daily,1.0,0.5,0.005876811594202899,0.19125,0.19245833333333334,0.9925,3.18,796.229652229084,0.002755417956656346,0.129375
campaign-hedged,1.0,0.5,0.002755417956656346,0.1525,0.15345833333333334,0.9925,2.49,897.235934461629,0.0022916666666666667,0.1075
campaign25-fixed,1.0,0.5,0.008549707602339182,0.221875,0.223375,0.9925,3.66,817.3264130276117,0.004703947368421052,0.15375
campaign50-fixed,1.0,0.5,0.010557590557590557,0.22625,0.22791666666666668,0.9925,3.81,828.2666773645035,0.006944444444444444,0.151875
campaign75-fixed,1.0,0.5,0.010699134199134198,0.216875,0.21845833333333334,0.9925,3.75,832.0728894457708,0.005864661654135338,0.15125
campaign75-fixed-daily,1.0,0.5,0.010800070028011205,0.22625,0.22783333333333336,0.9925,3.91,840.3460773769242,0.005864661654135338,0.15125
telescoping-fixed,1.0,0.5,0.005922619047619048,0.215,0.21633333333333332,0.9925,3.48,797.8994220326457,0.003333333333333333,0.141875
telescoping-fixed-daily,1.0,0.5,0.006335200746965452,0.221875,0.22325,0.9925,3.6,784.3215026676065,0.003333333333333333,0.141875
telescoping-hedged,1.0,0.5,0.0013809523809523811,0.15375,0.15470833333333334,0.9925,2.48,883.4602673445956,0.0,0.11875
anchored25-fixed,1.5,0.5,0.0016993464052287583,0.56375,0.56375,1.0,9.05,674.7154652335065,0.0016993464052287583,0.468125
anchored50-fixed,1.5,0.5,0.0021671826625387,0.568125,0.568125,1.0,9.13,695.167969294299,0.0016993464052287583,0.46875
anchored75-fixed,1.5,0.5,0.0025882352941176473,0.5725,0.5725,1.0,9.21,718.6276514703933,0.0016993464052287583,0.460625
anchored75-fixed-daily,1.5,0.5,0.0025882352941176473,0.5775,0.5775,1.0,9.29,708.1486720430869,0.0016993464052287583,0.460625
campaign-hedged,1.5,0.5,0.0021671826625387,0.513125,0.513125,1.0,8.25,777.0801794069457,0.0016993464052287583,0.430625
campaign25-fixed,1.5,0.5,0.0021671826625387,0.590625,0.590625,1.0,9.49,675.2398818249334,0.0016993464052287583,0.496875
campaign50-fixed,1.5,0.5,0.004287581699346406,0.608125,0.608125,1.0,9.81,696.7260907805644,0.002755417956656346,0.519375
campaign75-fixed,1.5,0.5,0.005500816993464053,0.61625,0.61625,1.0,9.96,706.9640688655315,0.004287581699346406,0.520625
campaign75-fixed-daily,1.5,0.5,0.006779560308972073,0.624375,0.624375,1.0,10.12,701.3393502478609,0.004287581699346406,0.520625
telescoping-fixed,1.5,0.5,0.0,0.555625,0.555625,1.0,8.89,663.4970443388811,0.0,0.459375
telescoping-fixed-daily,1.5,0.5,0.0,0.563125,0.563125,1.0,9.01,659.8893586632223,0.0,0.459375
telescoping-hedged,1.5,0.5,0.0,0.465,0.465,1.0,7.44,746.8320112635903,0.0,0.4
anchored25-fixed,2.0,0.5,0.000588235294117647,0.91875,0.91875,1.0,14.71,515.0938831791104,0.0,0.884375
anchored50-fixed,2.0,0.5,0.000588235294117647,0.921875,0.921875,1.0,14.76,520.6514572548664,0.0,0.8875
anchored75-fixed,2.0,0.5,0.001176470588235294,0.925,0.925,1.0,14.82,531.7571988196988,0.0,0.8875
anchored75-fixed-daily,2.0,0.5,0.001176470588235294,0.92625,0.92625,1.0,14.84,523.0391549107458,0.0,0.8875
campaign-hedged,2.0,0.5,0.000588235294117647,0.915625,0.915625,1.0,14.66,585.91526907436,0.0,0.881875
campaign25-fixed,2.0,0.5,0.001176470588235294,0.93,0.93,1.0,14.9,501.72548747548745,0.0,0.898125
campaign50-fixed,2.0,0.5,0.0034640522875816994,0.9375,0.9375,1.0,15.06,495.9324624449624,0.000588235294117647,0.90875
campaign75-fixed,2.0,0.5,0.006284829721362228,0.944375,0.944375,1.0,15.22,498.6807473390807,0.001176470588235294,0.915625
campaign75-fixed-daily,2.0,0.5,0.007461300309597523,0.945625,0.945625,1.0,15.26,491.22614915948253,0.001176470588235294,0.915625
telescoping-fixed,2.0,0.5,0.001176470588235294,0.916875,0.916875,1.0,14.69,517.6301707875458,0.0,0.88
telescoping-fixed-daily,2.0,0.5,0.001176470588235294,0.92,0.92,1.0,14.74,506.9597484737485,0.0,0.88
telescoping-hedged,2.0,0.5,0.0,0.875,0.875,1.0,14.0,591.7648030140455,0.0,0.841875
