design,design_class,bet_multipliers,mixture_weights,campaign_eta,campaign_cap,inspection_every_trading_days,component_lambda_cap,annual_sharpe,correlation,seed_first,seed_last,repetitions,mean_end_to_end_power,status
fixed-1,single,1,1,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.181875,development_only
fixed-1.5,single,1.5,1,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.206875,development_only
fixed-2,single,2,1,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.213750,development_only
mixture-0.5-1-2,arithmetic_mixture,0.5|1|2,1/3|1/3|1/3,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.187500,development_only
mixture-1-1.5-2,arithmetic_mixture,1|1.5|2,1/3|1/3|1/3,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.207500,development_only
mixture-1-2-4,arithmetic_mixture,1|2|4,1/3|1/3|1/3,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.212500,development_only
mixture-0.75-1.5,arithmetic_mixture,0.75|1.5,1/2|1/2,0.5,50,5,0.5,1.0,0.5,890000,890099,100,0.197500,development_only
fixed-1,single,1,1,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.618750,development_only
fixed-1.5,single,1.5,1,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.638125,development_only
fixed-2,single,2,1,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.650625,development_only
mixture-0.5-1-2,arithmetic_mixture,0.5|1|2,1/3|1/3|1/3,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.621875,development_only
mixture-1-1.5-2,arithmetic_mixture,1|1.5|2,1/3|1/3|1/3,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.644375,development_only
mixture-1-2-4,arithmetic_mixture,1|2|4,1/3|1/3|1/3,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.653125,development_only
mixture-0.75-1.5,arithmetic_mixture,0.75|1.5,1/2|1/2,0.5,50,5,0.5,1.5,0.5,895000,895099,100,0.640000,development_only
fixed-1,single,1,1,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.942500,development_only
fixed-1.5,single,1.5,1,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.953125,development_only
fixed-2,single,2,1,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.953750,development_only
mixture-0.5-1-2,arithmetic_mixture,0.5|1|2,1/3|1/3|1/3,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.951250,development_only
mixture-1-1.5-2,arithmetic_mixture,1|1.5|2,1/3|1/3|1/3,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.953125,development_only
mixture-1-2-4,arithmetic_mixture,1|2|4,1/3|1/3|1/3,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.954375,development_only
mixture-0.75-1.5,arithmetic_mixture,0.75|1.5,1/2|1/2,0.5,50,5,0.5,2.0,0.5,900000,900099,100,0.953750,development_only
