design,annual_sharpe,correlation,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,1.5,0.5,315909,1-5,5,5
telescoping-fixed,1.5,0.5,315909,6-10,5,5
telescoping-fixed,1.5,0.5,315909,11-20,6,6
telescoping-fixed,1.5,0.5,315909,21-35,0,0
telescoping-fixed,1.5,0.5,315909,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315909,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315909,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315909,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315909,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315909,36-50,0,0
telescoping-fixed,1.5,0.5,315910,1-5,5,5
telescoping-fixed,1.5,0.5,315910,6-10,4,4
telescoping-fixed,1.5,0.5,315910,11-20,6,6
telescoping-fixed,1.5,0.5,315910,21-35,1,0
telescoping-fixed,1.5,0.5,315910,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315910,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315910,6-10,4,4
campaign75-fixed-daily,1.5,0.5,315910,11-20,6,6
campaign75-fixed-daily,1.5,0.5,315910,21-35,1,0
campaign75-fixed-daily,1.5,0.5,315910,36-50,0,0
telescoping-fixed,1.5,0.5,315911,1-5,5,4
telescoping-fixed,1.5,0.5,315911,6-10,5,4
telescoping-fixed,1.5,0.5,315911,11-20,4,2
telescoping-fixed,1.5,0.5,315911,21-35,2,0
telescoping-fixed,1.5,0.5,315911,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315911,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315911,6-10,5,4
campaign75-fixed-daily,1.5,0.5,315911,11-20,4,3
campaign75-fixed-daily,1.5,0.5,315911,21-35,2,0
campaign75-fixed-daily,1.5,0.5,315911,36-50,0,0
telescoping-fixed,1.5,0.5,315912,1-5,5,2
telescoping-fixed,1.5,0.5,315912,6-10,4,2
telescoping-fixed,1.5,0.5,315912,11-20,7,1
telescoping-fixed,1.5,0.5,315912,21-35,0,0
telescoping-fixed,1.5,0.5,315912,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315912,1-5,5,1
campaign75-fixed-daily,1.5,0.5,315912,6-10,4,2
campaign75-fixed-daily,1.5,0.5,315912,11-20,7,3
campaign75-fixed-daily,1.5,0.5,315912,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315912,36-50,0,0
telescoping-fixed,1.5,0.5,315913,1-5,5,4
telescoping-fixed,1.5,0.5,315913,6-10,5,5
telescoping-fixed,1.5,0.5,315913,11-20,6,5
telescoping-fixed,1.5,0.5,315913,21-35,0,0
telescoping-fixed,1.5,0.5,315913,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315913,1-5,5,4
campaign75-fixed-daily,1.5,0.5,315913,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315913,11-20,6,5
campaign75-fixed-daily,1.5,0.5,315913,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315913,36-50,0,0
telescoping-fixed,1.5,0.5,315914,1-5,5,5
telescoping-fixed,1.5,0.5,315914,6-10,5,5
telescoping-fixed,1.5,0.5,315914,11-20,6,3
telescoping-fixed,1.5,0.5,315914,21-35,0,0
telescoping-fixed,1.5,0.5,315914,36-50,0,0
campaign75-fixed-daily,1.5,0.5,315914,1-5,5,5
campaign75-fixed-daily,1.5,0.5,315914,6-10,5,5
campaign75-fixed-daily,1.5,0.5,315914,11-20,6,4
campaign75-fixed-daily,1.5,0.5,315914,21-35,0,0
campaign75-fixed-daily,1.5,0.5,315914,36-50,0,0
telescoping-fixed,1.5,0.5,315915,1-5,5,5
telescoping-fixed,1.5,0.5,315915,6-10,5,4
telescoping-fixed,1.5,0.5,315915,11-20,4,1
