design,seed,rank_bin,true_proposals,true_promotions
telescoping-fixed,52001000,1-5,5,5
telescoping-fixed,52001000,6-10,5,5
telescoping-fixed,52001000,11-20,6,1
telescoping-fixed,52001000,21-35,0,0
telescoping-fixed,52001000,36-50,0,0
campaign75-fixed-daily,52001000,1-5,5,5
campaign75-fixed-daily,52001000,6-10,5,5
campaign75-fixed-daily,52001000,11-20,6,4
campaign75-fixed-daily,52001000,21-35,0,0
campaign75-fixed-daily,52001000,36-50,0,0
campaign75-geometric-daily,52001000,1-5,5,5
campaign75-geometric-daily,52001000,6-10,5,5
campaign75-geometric-daily,52001000,11-20,6,6
campaign75-geometric-daily,52001000,21-35,0,0
campaign75-geometric-daily,52001000,36-50,0,0
telescoping-fixed,52001001,1-5,5,3
telescoping-fixed,52001001,6-10,5,1
telescoping-fixed,52001001,11-20,5,1
telescoping-fixed,52001001,21-35,1,0
telescoping-fixed,52001001,36-50,0,0
campaign75-fixed-daily,52001001,1-5,5,3
campaign75-fixed-daily,52001001,6-10,5,1
campaign75-fixed-daily,52001001,11-20,5,2
campaign75-fixed-daily,52001001,21-35,1,0
campaign75-fixed-daily,52001001,36-50,0,0
campaign75-geometric-daily,52001001,1-5,5,5
campaign75-geometric-daily,52001001,6-10,5,4
campaign75-geometric-daily,52001001,11-20,5,5
campaign75-geometric-daily,52001001,21-35,1,0
campaign75-geometric-daily,52001001,36-50,0,0
telescoping-fixed,52001002,1-5,5,3
telescoping-fixed,52001002,6-10,5,1
telescoping-fixed,52001002,11-20,5,2
telescoping-fixed,52001002,21-35,1,0
telescoping-fixed,52001002,36-50,0,0
campaign75-fixed-daily,52001002,1-5,5,3
campaign75-fixed-daily,52001002,6-10,5,1
campaign75-fixed-daily,52001002,11-20,5,2
campaign75-fixed-daily,52001002,21-35,1,0
campaign75-fixed-daily,52001002,36-50,0,0
campaign75-geometric-daily,52001002,1-5,5,3
campaign75-geometric-daily,52001002,6-10,5,1
campaign75-geometric-daily,52001002,11-20,5,2
campaign75-geometric-daily,52001002,21-35,1,0
campaign75-geometric-daily,52001002,36-50,0,0
telescoping-fixed,52001003,1-5,5,2
telescoping-fixed,52001003,6-10,5,3
telescoping-fixed,52001003,11-20,5,0
telescoping-fixed,52001003,21-35,1,0
telescoping-fixed,52001003,36-50,0,0
campaign75-fixed-daily,52001003,1-5,5,1
campaign75-fixed-daily,52001003,6-10,5,3
campaign75-fixed-daily,52001003,11-20,5,3
campaign75-fixed-daily,52001003,21-35,1,0
campaign75-fixed-daily,52001003,36-50,0,0
campaign75-geometric-daily,52001003,1-5,5,1
campaign75-geometric-daily,52001003,6-10,5,3
campaign75-geometric-daily,52001003,11-20,5,3
campaign75-geometric-daily,52001003,21-35,1,0
campaign75-geometric-daily,52001003,36-50,0,0
telescoping-fixed,52001004,1-5,5,5
telescoping-fixed,52001004,6-10,5,4
telescoping-fixed,52001004,11-20,6,1
telescoping-fixed,52001004,21-35,0,0
telescoping-fixed,52001004,36-50,0,0
campaign75-fixed-daily,52001004,1-5,5,5
campaign75-fixed-daily,52001004,6-10,5,4
campaign75-fixed-daily,52001004,11-20,6,1
campaign75-fixed-daily,52001004,21-35,0,0
campaign75-fixed-daily,52001004,36-50,0,0
campaign75-geometric-daily,52001004,1-5,5,5
campaign75-geometric-daily,52001004,6-10,5,4
campaign75-geometric-daily,52001004,11-20,6,5
campaign75-geometric-daily,52001004,21-35,0,0
campaign75-geometric-daily,52001004,36-50,0,0
telescoping-fixed,52001005,1-5,5,5
telescoping-fixed,52001005,6-10,3,2
telescoping-fixed,52001005,11-20,7,1
telescoping-fixed,52001005,21-35,1,0
telescoping-fixed,52001005,36-50,0,0
campaign75-fixed-daily,52001005,1-5,5,5
campaign75-fixed-daily,52001005,6-10,3,2
campaign75-fixed-daily,52001005,11-20,7,3
campaign75-fixed-daily,52001005,21-35,1,1
campaign75-fixed-daily,52001005,36-50,0,0
