strategy_id,promotion_date,frozen_e_value,gamma,lambda,terminal_stopped_e_value,maximum_stopped_e_value
market_ew30,,,0.5,0.0834813021224,0.0167374434238,3.4093508235
high_volatility_lb63_b3_monthly,,,0.166666666667,0.242342719581,1.45884384964e-07,8.70598703734
high_volatility_lb21_b5_monthly,,,0.0833333333333,0.208270326819,7.48566386324e-05,2.31718286543
high_volatility_lb63_b5_monthly,,,0.05,0.294493356133,7.56655013329e-10,1.48116170222
high_volatility_lb252_b10_monthly,,,0.0333333333333,0.223752802645,2.03539074908e-05,2.16027740844
high_volatility_lb252_b3_monthly,,,0.0238095238095,0.244755341987,5.89189854557e-07,2.14800717987
time_series_momentum_lb126_monthly,,,0.0178571428571,0.211817492458,0.0329721726304,30.6613951998
cross_momentum_lb252_skip21_b3_weekly,,,0.0138888888889,0.0825180817736,2.79951700628,12.4153647538
time_series_momentum_lb252_monthly,,,0.0111111111111,0.2162213235,0.00181005709791,15.3699930996
cross_momentum_lb21_skip0_b5_monthly,,,0.00909090909091,0.148669067689,2.00778817504,2.67531329093
cross_momentum_lb63_skip0_b10_monthly,,,0.00757575757576,0.18576375059,0.370840452921,14.6618897508
cross_momentum_lb21_skip0_b3_monthly,,,0.00641025641026,0.228551374952,0.38346361124,1.47736425162
time_series_momentum_lb21_monthly,,,0.00549450549451,0.205783521416,0.000324579024076,1.6099642285
cross_momentum_lb21_skip0_b10_monthly,,,0.0047619047619,0.17482312411,0.12800937841,2.54570326732
time_series_momentum_lb63_monthly,,,0.00416666666667,0.172806066741,0.041740986006,3.06686294424
time_series_momentum_lb126_weekly,,,0.00367647058824,0.163527637622,0.340781780044,7.15462375272
cross_reversal_lb63_skip0_b5_weekly,,,0.00326797385621,0.0701244057736,0.0503108315413,1.06160707266
high_volatility_lb126_b3_monthly,,,0.00292397660819,0.105440494949,0.0218921244327,1.03866317966
time_series_momentum_lb252_weekly,,,0.00263157894737,0.259119281953,0.000934275778548,1.88864220371
cross_reversal_lb126_skip0_b5_weekly,,,0.00238095238095,0.0926796647633,0.0104466975095,1.02251246135
time_series_momentum_lb63_weekly,,,0.0021645021645,0.191485336144,0.268774078172,2.47826532941
cross_momentum_lb63_skip0_b5_monthly,,,0.00197628458498,0.149355796577,1.5954006982,16.8522061191
cross_momentum_lb63_skip0_b3_monthly,,,0.0018115942029,0.183571710022,1.01352447755,17.57189446
low_volatility_lb21_b3_monthly,,,0.00166666666667,0.207259455131,0.00505693761407,30.1212711135
low_volatility_lb21_b5_monthly,,,0.00153846153846,0.214510189361,0.00165545099018,28.2249142558
cross_reversal_lb21_skip0_b3_weekly,,,0.0014245014245,0.0666421305495,0.222364086768,1.05979507052
low_volatility_lb126_b3_monthly,,,0.00132275132275,0.215271001714,0.00917619153295,47.1490706664
low_volatility_lb63_b3_monthly,,,0.0012315270936,0.319947949084,0.000378289861918,79.3047068829
cross_momentum_lb252_skip21_b3_monthly,,,0.00114942528736,0.128851423384,0.322467177412,5.08385367542
cross_reversal_lb126_skip0_b10_monthly,,,0.0010752688172,0.01,0.801696754079,1.02573358404
cross_reversal_lb126_skip0_b10_weekly,,,0.00100806451613,0.01,0.70485628557,1.02659552942
cross_momentum_lb126_skip0_b3_monthly,,,0.00094696969697,0.157272545362,16.8714336782,138.368237067
cross_momentum_lb252_skip21_b5_monthly,,,0.000891265597148,0.074160258866,2.90865692199,4.34247745377
cross_momentum_lb252_skip21_b5_weekly,,,0.000840336134454,0.138080776538,1.08114033384,8.51567478616
low_volatility_lb252_b3_monthly,,,0.000793650793651,0.389918664217,5.246691447e-09,7.30136151557
low_volatility_lb63_b5_monthly,,,0.000750750750751,0.432514285932,6.32202581728e-11,2.20255654148
cross_momentum_lb63_skip0_b10_weekly,,,0.000711237553343,0.327767299667,6.73107700841e-05,1.00776186657
low_volatility_lb126_b5_monthly,,,0.000674763832659,0.46423500319,4.04776085229e-13,1.25385662388
low_volatility_lb252_b5_monthly,,,0.000641025641026,0.432537504953,1.30712235903e-10,1.04907672003
cross_momentum_lb63_skip0_b5_weekly,,,0.000609756097561,0.276104772648,0.00636095416805,1.80867904255
cross_momentum_lb63_skip0_b3_weekly,,,0.000580720092915,0.264508861823,0.000490317290616,2.17576390327
cross_momentum_lb126_skip0_b5_monthly,,,0.000553709856035,0.256723215206,0.0338665996935,9.30147801235
