q,false_discoveries,any_false,seed
0.01,0,False,271828
0.025,0,False,271828
0.05,0,False,271828
0.075,0,False,271828
0.1,0,False,271828
0.125,0,False,271828
0.15,0,False,271828
0.175,0,False,271828
0.2,0,False,271828
0.01,0,False,271829
0.025,0,False,271829
0.05,0,False,271829
0.075,0,False,271829
0.1,0,False,271829
0.125,0,False,271829
0.15,0,False,271829
0.175,0,False,271829
0.2,0,False,271829
0.01,0,False,271830
0.025,0,False,271830
0.05,0,False,271830
0.075,0,False,271830
0.1,2,True,271830
0.125,2,True,271830
0.15,2,True,271830
0.175,2,True,271830
0.2,2,True,271830
0.01,0,False,271831
0.025,0,False,271831
0.05,0,False,271831
0.075,0,False,271831
0.1,0,False,271831
0.125,0,False,271831
0.15,0,False,271831
0.175,0,False,271831
0.2,0,False,271831
0.01,0,False,271832
0.025,0,False,271832
0.05,0,False,271832
0.075,0,False,271832
0.1,0,False,271832
0.125,0,False,271832
0.15,0,False,271832
0.175,0,False,271832
0.2,0,False,271832
0.01,0,False,271833
0.025,0,False,271833
0.05,0,False,271833
0.075,0,False,271833
0.1,0,False,271833
0.125,0,False,271833
0.15,0,False,271833
0.175,0,False,271833
0.2,0,False,271833
0.01,0,False,271834
0.025,0,False,271834
0.05,0,False,271834
0.075,0,False,271834
0.1,0,False,271834
0.125,0,False,271834
0.15,0,False,271834
0.175,0,False,271834
0.2,3,True,271834
0.01,0,False,271835
0.025,0,False,271835
0.05,0,False,271835
0.075,0,False,271835
0.1,0,False,271835
0.125,0,False,271835
0.15,0,False,271835
0.175,0,False,271835
0.2,0,False,271835
0.01,0,False,271836
0.025,0,False,271836
0.05,0,False,271836
0.075,0,False,271836
0.1,0,False,271836
0.125,0,False,271836
0.15,0,False,271836
0.175,1,True,271836
0.2,1,True,271836
0.01,0,False,271837
0.025,0,False,271837
0.05,0,False,271837
0.075,0,False,271837
0.1,0,False,271837
0.125,0,False,271837
0.15,0,False,271837
0.175,0,False,271837
0.2,0,False,271837
0.01,0,False,271838
0.025,0,False,271838
0.05,0,False,271838
0.075,0,False,271838
0.1,0,False,271838
0.125,0,False,271838
0.15,0,False,271838
0.175,0,False,271838
0.2,0,False,271838
0.01,0,False,271839
0.025,0,False,271839
0.05,0,False,271839
0.075,0,False,271839
0.1,0,False,271839
0.125,0,False,271839
0.15,0,False,271839
0.175,0,False,271839
0.2,0,False,271839
0.01,0,False,271840
0.025,0,False,271840
0.05,0,False,271840
0.075,0,False,271840
0.1,0,False,271840
0.125,0,False,271840
0.15,0,False,271840
0.175,0,False,271840
0.2,0,False,271840
0.01,0,False,271841
0.025,0,False,271841
0.05,0,False,271841
0.075,0,False,271841
0.1,0,False,271841
0.125,0,False,271841
0.15,0,False,271841
0.175,0,False,271841
0.2,0,False,271841
0.01,0,False,271842
0.025,0,False,271842
0.05,0,False,271842
0.075,0,False,271842
0.1,0,False,271842
0.125,0,False,271842
0.15,0,False,271842
0.175,0,False,271842
0.2,0,False,271842
0.01,0,False,271843
0.025,0,False,271843
0.05,0,False,271843
0.075,0,False,271843
0.1,0,False,271843
0.125,0,False,271843
0.15,0,False,271843
0.175,0,False,271843
0.2,0,False,271843
0.01,0,False,271844
0.025,0,False,271844
0.05,0,False,271844
0.075,0,False,271844
0.1,0,False,271844
0.125,0,False,271844
0.15,0,False,271844
0.175,0,False,271844
0.2,0,False,271844
0.01,0,False,271845
0.025,0,False,271845
0.05,0,False,271845
0.075,0,False,271845
0.1,0,False,271845
0.125,0,False,271845
0.15,0,False,271845
0.175,0,False,271845
0.2,0,False,271845
0.01,0,False,271846
0.025,0,False,271846
0.05,0,False,271846
0.075,0,False,271846
0.1,1,True,271846
0.125,1,True,271846
0.15,3,True,271846
0.175,3,True,271846
0.2,3,True,271846
0.01,0,False,271847
0.025,0,False,271847
0.05,0,False,271847
0.075,0,False,271847
0.1,0,False,271847
0.125,0,False,271847
0.15,0,False,271847
0.175,0,False,271847
0.2,0,False,271847
0.01,0,False,271848
0.025,0,False,271848
0.05,0,False,271848
0.075,0,False,271848
0.1,0,False,271848
0.125,0,False,271848
0.15,0,False,271848
0.175,0,False,271848
0.2,0,False,271848
0.01,0,False,271849
0.025,0,False,271849
0.05,0,False,271849
0.075,0,False,271849
0.1,0,False,271849
0.125,0,False,271849
0.15,0,False,271849
0.175,0,False,271849
0.2,0,False,271849
0.01,0,False,271850
0.025,0,False,271850
0.05,0,False,271850
0.075,0,False,271850
0.1,0,False,271850
0.125,0,False,271850
0.15,0,False,271850
0.175,0,False,271850
0.2,0,False,271850
0.01,0,False,271851
0.025,0,False,271851
0.05,0,False,271851
0.075,0,False,271851
0.1,0,False,271851
0.125,0,False,271851
0.15,0,False,271851
0.175,0,False,271851
0.2,0,False,271851
0.01,0,False,271852
0.025,0,False,271852
0.05,0,False,271852
0.075,0,False,271852
0.1,0,False,271852
0.125,0,False,271852
0.15,0,False,271852
0.175,0,False,271852
0.2,0,False,271852
0.01,0,False,271853
0.025,0,False,271853
0.05,0,False,271853
0.075,0,False,271853
0.1,0,False,271853
0.125,0,False,271853
0.15,0,False,271853
0.175,0,False,271853
0.2,0,False,271853
0.01,0,False,271854
0.025,0,False,271854
0.05,0,False,271854
0.075,0,False,271854
0.1,0,False,271854
0.125,0,False,271854
0.15,0,False,271854
0.175,0,False,271854
0.2,0,False,271854
0.01,0,False,271855
0.025,0,False,271855
0.05,0,False,271855
0.075,0,False,271855
0.1,0,False,271855
0.125,0,False,271855
0.15,0,False,271855
0.175,0,False,271855
0.2,0,False,271855
0.01,0,False,271856
0.025,1,True,271856
0.05,1,True,271856
0.075,1,True,271856
0.1,1,True,271856
0.125,1,True,271856
0.15,1,True,271856
0.175,1,True,271856
0.2,1,True,271856
0.01,0,False,271857
0.025,0,False,271857
0.05,0,False,271857
0.075,0,False,271857
0.1,0,False,271857
0.125,0,False,271857
0.15,0,False,271857
0.175,0,False,271857
0.2,0,False,271857
0.01,0,False,271858
0.025,0,False,271858
0.05,0,False,271858
0.075,0,False,271858
0.1,0,False,271858
0.125,0,False,271858
0.15,0,False,271858
0.175,0,False,271858
0.2,0,False,271858
0.01,0,False,271859
0.025,0,False,271859
0.05,0,False,271859
0.075,0,False,271859
0.1,0,False,271859
0.125,0,False,271859
0.15,0,False,271859
0.175,0,False,271859
0.2,0,False,271859
0.01,0,False,271860
0.025,0,False,271860
0.05,0,False,271860
0.075,0,False,271860
0.1,0,False,271860
0.125,0,False,271860
0.15,0,False,271860
0.175,0,False,271860
0.2,0,False,271860
0.01,0,False,271861
0.025,0,False,271861
0.05,0,False,271861
0.075,0,False,271861
0.1,0,False,271861
0.125,0,False,271861
0.15,0,False,271861
0.175,0,False,271861
0.2,0,False,271861
0.01,0,False,271862
0.025,0,False,271862
0.05,0,False,271862
0.075,0,False,271862
0.1,0,False,271862
0.125,0,False,271862
0.15,0,False,271862
0.175,0,False,271862
0.2,0,False,271862
0.01,0,False,271863
0.025,0,False,271863
0.05,0,False,271863
0.075,0,False,271863
0.1,0,False,271863
0.125,0,False,271863
0.15,0,False,271863
0.175,0,False,271863
0.2,0,False,271863
0.01,0,False,271864
0.025,0,False,271864
0.05,0,False,271864
0.075,0,False,271864
0.1,0,False,271864
0.125,0,False,271864
0.15,0,False,271864
0.175,0,False,271864
0.2,0,False,271864
0.01,0,False,271865
0.025,0,False,271865
0.05,0,False,271865
0.075,0,False,271865
0.1,0,False,271865
0.125,0,False,271865
0.15,0,False,271865
0.175,0,False,271865
0.2,0,False,271865
0.01,0,False,271866
0.025,0,False,271866
0.05,0,False,271866
0.075,0,False,271866
0.1,0,False,271866
0.125,0,False,271866
0.15,0,False,271866
0.175,1,True,271866
0.2,3,True,271866
0.01,0,False,271867
0.025,0,False,271867
0.05,0,False,271867
0.075,0,False,271867
0.1,0,False,271867
0.125,0,False,271867
0.15,0,False,271867
0.175,0,False,271867
0.2,0,False,271867
0.01,0,False,271868
0.025,0,False,271868
0.05,0,False,271868
0.075,0,False,271868
0.1,0,False,271868
0.125,0,False,271868
0.15,0,False,271868
0.175,0,False,271868
0.2,0,False,271868
0.01,0,False,271869
0.025,0,False,271869
0.05,0,False,271869
0.075,0,False,271869
0.1,0,False,271869
0.125,0,False,271869
0.15,0,False,271869
0.175,0,False,271869
0.2,0,False,271869
