q,annual_sharpe,correlation,method,mean_fdp,mean_end_to_end_power,mean_discoveries,mean_delay_days,repetitions
0.01,1.5,0.5,SAFE-ALPHA,0,0.31425,5.028,838.225330842,250
0.01,1.5,0.5,Matched terminal weighted e-BH,0,0.24825,3.972,1206.53402057,250
0.025,1.5,0.5,SAFE-ALPHA,0,0.4125,6.6,779.672633974,250
0.025,1.5,0.5,Matched terminal weighted e-BH,0,0.33325,5.332,1197.371007,250
0.05,1.5,0.5,SAFE-ALPHA,0,0.4885,7.816,736.387340119,250
0.05,1.5,0.5,Matched terminal weighted e-BH,0,0.4025,6.44,1192.18800109,250
0.075,1.5,0.5,SAFE-ALPHA,0,0.5355,8.568,704.022926411,250
0.075,1.5,0.5,Matched terminal weighted e-BH,0,0.44425,7.108,1186.70959855,250
0.1,1.5,0.5,SAFE-ALPHA,0,0.5775,9.24,684.118260069,250
0.1,1.5,0.5,Matched terminal weighted e-BH,0,0.47875,7.66,1182.7093793,250
0.125,1.5,0.5,SAFE-ALPHA,0,0.60575,9.692,657.237366857,250
0.125,1.5,0.5,Matched terminal weighted e-BH,0,0.5095,8.152,1180.580932,250
0.15,1.5,0.5,SAFE-ALPHA,0.000285714285714,0.6305,10.092,638.024940371,250
0.15,1.5,0.5,Matched terminal weighted e-BH,0,0.53125,8.5,1177.55841851,250
0.175,1.5,0.5,SAFE-ALPHA,0.000285714285714,0.64625,10.344,615.824173077,250
0.175,1.5,0.5,Matched terminal weighted e-BH,0,0.55025,8.804,1176.38992738,250
0.2,1.5,0.5,SAFE-ALPHA,0.000552380952381,0.662,10.6,595.396812595,250
0.2,1.5,0.5,Matched terminal weighted e-BH,0,0.5675,9.08,1174.17861119,250
