q,method,fdp,end_to_end_power,discoveries,delay_days,seed
0.01,SAFE-ALPHA,0,0.625,10,963.5,315909
0.01,Matched terminal weighted e-BH,0,0.625,10,1167.5,315909
0.025,SAFE-ALPHA,0,0.75,12,856,315909
0.025,Matched terminal weighted e-BH,0,0.75,12,1159,315909
0.05,SAFE-ALPHA,0,0.875,14,849.571428571,315909
0.05,Matched terminal weighted e-BH,0,0.8125,13,1154,315909
0.075,SAFE-ALPHA,0,0.9375,15,842.333333333,315909
0.075,Matched terminal weighted e-BH,0,0.875,14,1146.5,315909
0.1,SAFE-ALPHA,0,1,16,814.75,315909
0.1,Matched terminal weighted e-BH,0,0.9375,15,1149,315909
0.125,SAFE-ALPHA,0,1,16,773.1875,315909
0.125,Matched terminal weighted e-BH,0,0.9375,15,1149,315909
0.15,SAFE-ALPHA,0,1,16,744.75,315909
0.15,Matched terminal weighted e-BH,0,1,16,1146.5,315909
0.175,SAFE-ALPHA,0,1,16,741,315909
0.175,Matched terminal weighted e-BH,0,1,16,1146.5,315909
0.2,SAFE-ALPHA,0,1,16,733.8125,315909
0.2,Matched terminal weighted e-BH,0,1,16,1146.5,315909
0.01,SAFE-ALPHA,0,0.6875,11,667.363636364,315910
0.01,Matched terminal weighted e-BH,0,0.5625,9,1139,315910
0.025,SAFE-ALPHA,0,0.8125,13,525.615384615,315910
0.025,Matched terminal weighted e-BH,0,0.625,10,1140.5,315910
0.05,SAFE-ALPHA,0,0.8125,13,466.384615385,315910
0.05,Matched terminal weighted e-BH,0,0.75,12,1149,315910
0.075,SAFE-ALPHA,0,0.875,14,438.857142857,315910
0.075,Matched terminal weighted e-BH,0,0.75,12,1149,315910
0.1,SAFE-ALPHA,0,0.9375,15,414,315910
0.1,Matched terminal weighted e-BH,0,0.8125,13,1148.23076923,315910
0.125,SAFE-ALPHA,0,0.9375,15,391.333333333,315910
0.125,Matched terminal weighted e-BH,0,0.8125,13,1148.23076923,315910
0.15,SAFE-ALPHA,0,0.9375,15,352.666666667,315910
